Show_Name,Date_Close,Date_Open,Year,Days Open,Prod_Type,Show_Type,Theatre,,,,
Calico Wedding,3/10/1945,3/7/1945,1945,3,Original Production,Play,National Theatre,,,,
And Be My Love,3/3/1945,2/21/1945,1945,10,Revival,Play,National Theatre,,,,
Signature,2/15/1945,2/14/1945,1945,1,,Play,Forrest Theatre,,,,
The Stranger,2/24/1945,2/12/1945,1945,12,Original Production,Play,Playhouse Theatre,,,,
One-Man Show,3/10/1945,2/8/1945,1945,30,Original Production,Play,Ethel Barrymore Theatre,,,,
Hope for the Best,5/19/1945,2/7/1945,1945,101,,Play,Fulton Theatre,,,,
The Overtons,7/7/1945,2/6/1945,1945,151,Original Production,Play,Booth Theatre,,,,
Alice in Arms,2/3/1945,1/31/1945,1945,3,Revival,Play,National Theatre,,,,
Up in Central Park,4/13/1946,1/27/1945,1945,441,Original Production,Musical,New Century Theatre,,,,
The Tempest,4/21/1945,1/25/1945,1945,86,Original Production,Play,Alvin Theatre,,,,
A Goose for the Gander,2/3/1945,1/23/1945,1945,11,Original Production,Play,Playhouse Theatre,,,,
Rebecca,2/3/1945,1/18/1945,1945,16,Original Production,Play,Ethel Barrymore Theatre,,,,
"Good Night, Ladies",3/24/1945,1/17/1945,1945,66,Original Production,Play,Royale Theatre,,,,
A Lady Says Yes,3/25/1945,1/10/1945,1945,74,Original Production,Musical,Broadhurst Theatre,,,,
Many Happy Returns,1/6/1945,1/5/1945,1945,1,Original Production,Play,Playhouse Theatre,,,,
The Hasty Heart,6/30/1945,1/3/1945,1945,178,Revival,Play,Hudson Theatre,,,,
The Cherry Orchard,1/6/1945,1/1/1945,1945,5,Original Production,Play,City Center,,,,
Trio,2/24/1945,12/29/1944,1944,57,Revival,Play,Belasco Theatre,,,,
On the Town,2/2/1946,12/28/1944,1944,401,Original Production,Musical,Adelphi Theatre,,,,
"Sing Out, Sweet Land!",3/24/1945,12/27/1944,1944,87,Original Production,Musical,International Theatre,,,,
Tropical Revue,,12/26/1944,1944,,Original Production,Musical,New Century Theatre,,,,
Sophie,12/30/1944,12/25/1944,1944,5,Original Production,Play,Playhouse Theatre,,,,
Laffing Room Only,7/14/1945,12/23/1944,1944,203,Original Production,Revue,Winter Garden Theatre,,,,
Dear Ruth,7/27/1946,12/13/1944,1944,591,Original Production,Play,Henry Miller's Theatre,,,,
Little Women,12/30/1944,12/12/1944,1944,18,Original Production,Play,City Center,,,,
Dark Hammock,12/12/1944,12/11/1944,1944,1,Revival,Play,Forrest Theatre,,,,
Spook Scandals,12/9/1944,12/8/1944,1944,1,Original Production,Special,President Theatre,,,,
Seven Lively Arts,5/12/1945,12/7/1944,1944,156,Original Production,Revue,Ziegfeld Theatre,,,,
A Bell for Adano,10/27/1945,12/6/1944,1944,325,Revival,Play,Cort Theatre,,,,
Hand in Glove,1/6/1945,12/4/1944,1944,33,Original Production,Play,Playhouse Theatre,,,,
The Man Who Had All the Luck,11/25/1944,11/23/1944,1944,2,Original Production,Play,Forrest Theatre,,,,
The Late George Apley,11/17/1945,11/21/1944,1944,361,Original Production,Play,Lyceum Theatre,,,,
The Streets Are Guarded,12/9/1944,11/20/1944,1944,19,Original Production,Play,Henry Miller's Theatre,,,,
Sadie Thompson,1/6/1945,11/16/1944,1944,51,Original Production,,Alvin Theatre,,,,
La Tosca,11/26/1944,11/15/1944,1944,11,Revival,Opera,City Center,,,,
In Bed We Cry,12/23/1944,11/14/1944,1944,39,Original Production,Play,Belasco Theatre,,,,
Glad to See You,1/6/1945,11/13/1944,1944,54,Original Production,Musical,Boston Opera House,,,,
La Traviata,11/25/1944,11/12/1944,1944,13,Original Production,Opera,City Center,,,,
Cavalleria Rusticana,11/25/1944,11/11/1944,1944,14,,Opera,City Center,,,,
Pagliacci,11/25/1944,11/11/1944,1944,14,Original Production,Opera,City Center,,,,
La Boheme,11/24/1944,11/10/1944,1944,14,Revival,Opera,City Center,,,,
Manon Lescaut,11/16/1944,11/9/1944,1944,7,Original Production,Play,City Center,,,,
Robin Hood,11/18/1944,11/7/1944,1944,11,Original Production,Musical,Adelphi Theatre,,,,
Sleep My Pretty One,11/11/1944,11/2/1944,1944,9,Original Production,Play,Playhouse Theatre,,,,
Harvey,1/15/1949,11/1/1944,1944,1536,Revival,Play,48th Street Theatre,,,,
Embezzled Heaven,1/13/1945,10/31/1944,1944,74,Original Production,Play,National Theatre,,,,
Ballet International,12/23/1944,10/30/1944,1944,54,Revival,Special,International Theatre,,,,
No Way Out,11/4/1944,10/30/1944,1944,5,Original Production,Play,Cort Theatre,,,,
The Perfect Marriage,1/13/1945,10/26/1944,1944,79,Original Production,Play,Ethel Barrymore Theatre,,,,
Snafu,3/10/1945,10/25/1944,1944,136,,Play,Hudson Theatre,,,,
Violet,11/11/1944,10/24/1944,1944,18,Original Production,Play,Belasco Theatre,,,,
I Remember Mama,6/29/1946,10/19/1944,1944,618,Original Production,Play,Music Box Theatre,,,,
The Visitor,11/4/1944,10/17/1944,1944,18,Revival,Play,Henry Miller's Theatre,,,,
Meet a Body,11/4/1944,10/16/1944,1944,19,Original Production,Play,Forrest Theatre,,,,
The Merry Widow,11/25/1944,10/7/1944,1944,49,Original Production,Operetta,City Center,,,,
Bloomer Girl,4/27/1946,10/5/1944,1944,569,,Musical,Shubert Theatre,,,,
Soldier's Wife,5/12/1945,10/4/1944,1944,220,Original Production,Play,John Golden Theatre,,,,
Pearl Primus,10/14/1944,10/4/1944,1944,10,Revival,Special,Belasco Theatre,,,,
Men to the Sea,10/21/1944,10/3/1944,1944,18,Original Production,Play,National Theatre,,,,
The Odds on Mrs. Oakley,10/21/1944,10/2/1944,1944,19,Original Production,Play,Cort Theatre,,,,
Harriet,10/5/1944,9/27/1944,1944,8,Original Production,Play,City Center,,,,
While the Sun Shines,10/21/1944,9/19/1944,1944,32,Original Production,Play,Lyceum Theatre,,,,
Star Time,12/9/1944,9/12/1944,1944,88,Original Production,Musical,Majestic Theatre,,,,
Down to Miami,9/16/1944,9/11/1944,1944,5,Original Production,Play,Ambassador Theatre,,,,
The Day Will Come,9/23/1944,9/7/1944,1944,16,Revival,Play,National Theatre,,,,
Last Stop,9/23/1944,9/5/1944,1944,18,Original Production,Play,Ethel Barrymore Theatre,,,,
Sleep No More,9/4/1944,8/31/1944,1944,4,Revival,Play,Cort Theatre,,,,
Anna Lucasta,11/30/1946,8/30/1944,1944,822,Original Production,Play,Mansfield Theatre,,,,
Lower North,9/2/1944,8/25/1944,1944,8,Original Production,Play,Belasco Theatre,,,,
Song of Norway,9/7/1946,8/21/1944,1944,747,Original Production,Musical,Imperial Theatre,,,,
The Two Mrs. Carrolls,2/3/1945,8/14/1944,1944,173,Original Production,Play,Booth Theatre,,,,
Good Morning Corporal,8/18/1944,8/8/1944,1944,10,Original Production,Play,Playhouse Theatre,,,,
Catherine Was Great,1/13/1945,8/2/1944,1944,164,Original Production,Play,Shubert Theatre,,,,
School for Brides,6/23/1945,8/1/1944,1944,326,Revival,Play,Royale Theatre,,,,
Ten Little Indians,6/30/1945,6/27/1944,1944,368,Original Production,Play,Broadhurst Theatre,,,,
Hats Off to Ice,4/2/1946,6/22/1944,1944,649,Revival,Special,Center Theatre,,,,
Love on Leave,6/24/1944,6/20/1944,1944,4,Original Production,Play,Hudson Theatre,,,,
Take a Bow,6/24/1944,6/15/1944,1944,9,Original Production,Musical,Broadhurst Theatre,,,,
For Keeps,7/8/1944,6/14/1944,1944,24,Original Production,Play,Henry Miller's Theatre,,,,
Slightly Scandalous,6/17/1944,6/13/1944,1944,4,Original Production,Play,National Theatre,,,,
That Old Devil,6/17/1944,6/5/1944,1944,12,Original Production,Play,Playhouse Theatre,,,,
Career Angel,6/10/1944,5/23/1944,1944,18,Revival,Play,National Theatre,,,,
Dream With Music,6/10/1944,5/18/1944,1944,23,Original Production,Musical,Majestic Theatre,,,,
The New Moon,,5/17/1944,1944,,Original Production,Operetta,City Center,,,,
Hickory Stick,5/13/1944,5/8/1944,1944,5,Original Production,Play,Mansfield Theatre,,,,
La Traviata,5/13/1944,5/8/1944,1944,5,Original Production,Opera,City Center,,,,
Martha Graham and Company,5/14/1944,5/7/1944,1944,7,Original Production,Special,National Theatre,,,,
Pick-up Girl,10/21/1944,5/3/1944,1944,171,Original Production,Play,48th Street Theatre,,,,
La Boheme,3/10/1945,4/30/1944,1944,314,Original Production,Opera,Center Theatre,,,,
Il Trovatore,5/7/1944,4/30/1944,1944,7,Original Production,Opera,Center Theatre,,,,
Rigoletto,5/5/1944,4/29/1944,1944,6,Revival,Opera,Center Theatre,,,,
Faust,5/4/1944,4/29/1944,1944,5,Original Production,Special,Center Theatre,,,,
A Highland Fling,5/20/1944,4/28/1944,1944,22,Original Production,Play,Plymouth Theatre,,,,
Aida,5/7/1944,4/28/1944,1944,9,Revival,Special,Center Theatre,,,,
La Traviata,5/6/1944,4/27/1944,1944,9,Revival,Opera,Center Theatre,,,,
Carmen,5/3/1944,4/26/1944,1944,7,Original Production,Opera,Center Theatre,,,,
Helen Goes to Troy,7/15/1944,4/24/1944,1944,82,Original Production,Play,Alvin Theatre,,,,
War President,4/25/1944,4/24/1944,1944,1,Original Production,Play,Shubert Theatre,,,,
Allah Be Praised!,5/6/1944,4/20/1944,1944,16,Original Production,Musical,Adelphi Theatre,,,,
Sheppey,5/6/1944,4/18/1944,1944,18,Original Production,Play,Playhouse Theatre,,,,
Pretty Little Parlor,4/22/1944,4/17/1944,1944,5,,Play,National Theatre,,,,
The Searching Wind,1/20/1945,4/12/1944,1944,283,Original Production,Play,Fulton Theatre,,,,
But Not Goodbye,4/29/1944,4/11/1944,1944,18,Revival,Play,48th Street Theatre,,,,
Ballet Russe de Monte Carlo,4/30/1944,4/9/1944,1944,21,Revival,,City Center,,,,
Follow the Girls,5/18/1946,4/8/1944,1944,770,Original Production,Musical,New Century Theatre,,,,
Yellow Jack,4/7/1944,4/7/1944,1944,0,Original Production,Play,44th Street Theatre,,,,
Public Relations,4/29/1944,4/6/1944,1944,23,Original Production,Play,Mansfield Theatre,,,,
Chicken Every Sunday,1/6/1945,4/5/1944,1944,276,Original Production,Play,Henry Miller's Theatre,,,,
Only the Heart,5/13/1944,4/4/1944,1944,39,Original Production,Play,Bijou Theatre,,,,
Mrs. January and Mr. X,5/6/1944,3/31/1944,1944,36,Original Production,Play,Belasco Theatre,,,,
The House in Paris,4/1/1944,3/20/1944,1944,12,Original Production,Play,Fulton Theatre,,,,
Jacobowsky and the Colonel,3/10/1945,3/14/1944,1944,361,Original Production,Play,Martin Beck Theatre,,,,
The Yeomen of the Guard,11/4/1944,3/3/1944,1944,246,Original Production,Musical,Ambassador Theatre,,,,
Ruddigore,11/18/1944,3/2/1944,1944,261,Original Production,Operetta,Ambassador Theatre,,,,
Bright Boy,3/15/1944,3/2/1944,1944,13,Revival,Play,Playhouse Theatre,,,,
"Thank You, Svoboda",3/4/1944,3/1/1944,1944,3,Original Production,Play,Mansfield Theatre,,,,
Mrs. Kimball Presents,3/4/1944,2/29/1944,1944,4,Original Production,Play,48th Street Theatre,,,,
Patience,11/25/1944,2/25/1944,1944,274,Original Production,Operetta,Ambassador Theatre,,,,
Iolanthe,12/23/1944,2/22/1944,1944,305,Original Production,Operetta,Ambassador Theatre,,,,
Martha,5/13/1944,2/22/1944,1944,81,Original Production,Musical,City Center,,,,
Right Next to Broadway,3/4/1944,2/21/1944,1944,12,Revival,Play,Bijou Theatre,,,,
The Pirates of Penzance,3/26/1944,2/17/1944,1944,38,Revival,Operetta,Ambassador Theatre,,,,
Cox and Box,3/19/1944,2/17/1944,1944,31,Original Production,Operetta,Ambassador Theatre,,,,
The Mikado,11/25/1944,2/11/1944,1944,288,Original Production,Operetta,Ambassador Theatre,,,,
Take It as It Comes,2/23/1944,2/10/1944,1944,13,Original Production,Play,48th Street Theatre,,,,
Porgy and Bess,4/8/1944,2/7/1944,1944,61,Revival,Musical,City Center,,,,
The American Ballad Singers,2/6/1944,2/6/1944,1944,0,Original Production,Special,City Center,,,,
Peepshow,2/26/1944,2/3/1944,1944,23,Original Production,Play,Fulton Theatre,,,,
Decision,6/17/1944,2/2/1944,1944,136,Original Production,Play,Belasco Theatre,,,,
Mexican Hayride,3/17/1945,1/28/1944,1944,414,Original Production,Musical,Winter Garden Theatre,,,,
Wallflower,7/8/1944,1/26/1944,1944,164,Original Production,Play,Cort Theatre,,,,
The Cherry Orchard,4/15/1944,1/25/1944,1944,81,Revival,Play,National Theatre,,,,
The Duke in Darkness,2/12/1944,1/24/1944,1944,19,Original Production,Play,Playhouse Theatre,,,,
Jackpot,3/11/1944,1/13/1944,1944,58,Original Production,Musical,Alvin Theatre,,,,
Suds in Your Eye,1/23/1944,1/12/1944,1944,11,Original Production,Play,Cort Theatre,,,,
Storm Operation,1/29/1944,1/11/1944,1944,18,Revival,Play,Belasco Theatre,,,,
Our Town,1/29/1944,1/10/1944,1944,19,Original Production,Play,City Center,,,,
Ramshackle Inn,7/8/1944,1/5/1944,1944,185,Original Production,Play,Royale Theatre,,,,
Over 21,7/8/1944,1/3/1944,1944,187,Original Production,Play,Music Box Theatre,,,,
Paul Draper and Larry Adler,2/5/1944,12/31/1943,1943,36,Original Production,Special,City Center,,,,
South Pacific,1/1/1944,12/29/1943,1943,3,Original Production,Play,Cort Theatre,,,,
Doctors Disagree,1/15/1944,12/28/1943,1943,18,Original Production,Play,Bijou Theatre,,,,
Martha Graham and Company,1/9/1944,12/26/1943,1943,14,Original Production,Special,46th Street Theatre,,,,
"Listen, Professor",1/15/1944,12/22/1943,1943,24,Revival,Play,Forrest Theatre,,,,
Feathers in a Gale,12/25/1943,12/21/1943,1943,4,Revival,Play,Music Box Theatre,,,,
The Patriots,12/25/1943,12/20/1943,1943,5,Original Production,Play,City Center,,,,
Susan and God,12/18/1943,12/13/1943,1943,5,Original Production,Play,City Center,,,,
Pillar to Post,1/1/1944,12/10/1943,1943,22,Original Production,Play,Playhouse Theatre,,,,
The Voice of the Turtle,1/3/1948,12/8/1943,1943,1487,Original Production,Play,Morosco Theatre,,,,
The World's Full of Girls,12/12/1943,12/6/1943,1943,6,Revival,Play,Royale Theatre,,,,
Carmen Jones,2/10/1945,12/2/1943,1943,436,Original Production,Musical,Broadway Theatre,,,,
Lovers and Friends,4/22/1944,11/29/1943,1943,145,Original Production,Play,Plymouth Theatre,,,,
Get Away Old Man,12/4/1943,11/24/1943,1943,10,Original Production,Play,Cort Theatre,,,,
Marching with Johnny,12/25/1943,11/22/1943,1943,33,Revival,Musical,Mosque Theatre,,,,
Winged Victory,5/20/1944,11/20/1943,1943,182,Original Production,,44th Street Theatre,,,,
A Connecticut Yankee,3/11/1944,11/17/1943,1943,115,,Musical,Martin Beck Theatre,,,,
"Lady, Behave!",12/4/1943,11/16/1943,1943,18,Original Production,Play,Cort Theatre,,,,
The Innocent Voyage,12/18/1943,11/15/1943,1943,33,Original Production,Play,Belasco Theatre,,,,
What's Up,1/4/1944,11/11/1943,1943,54,Original Production,Musical,National Theatre,,,,
Goodbye Again,11/14/1943,11/9/1943,1943,5,Original Production,Play,New Amsterdam Roof,,,,
I'll Take the High Road,11/13/1943,11/9/1943,1943,4,Original Production,Play,Ritz Theatre,,,,
Artists and Models [1943],11/27/1943,11/5/1943,1943,22,Original Production,Musical,Broadway Theatre,,,,
Outrageous Fortune,1/8/1944,11/3/1943,1943,66,Original Production,Play,48th Street Theatre,,,,
The Petrified Forest,11/6/1943,11/1/1943,1943,5,Original Production,Play,New Amsterdam Roof,,,,
Victory Belles,1/22/1944,10/26/1943,1943,88,Original Production,Play,Mansfield Theatre,,,,
Manhattan Nocturne,11/13/1943,10/26/1943,1943,18,Revival,Play,Forrest Theatre,,,,
Slightly Married,10/30/1943,10/25/1943,1943,5,Revival,Play,Cort Theatre,,,,
The Naked Genius,11/20/1943,10/21/1943,1943,30,Revival,Play,Plymouth Theatre,,,,
Othello,7/1/1944,10/19/1943,1943,256,Original Production,Play,Shubert Theatre,,,,
Another Love Story,1/8/1944,10/12/1943,1943,88,Original Production,Play,Fulton Theatre,,,,
One Touch of Venus,2/10/1945,10/7/1943,1943,492,Original Production,Musical,Imperial Theatre,,,,
Hairpin Harmony,10/2/1943,10/1/1943,1943,1,Original Production,Musical,National Theatre,,,,
All for All,12/11/1943,9/29/1943,1943,73,Original Production,Play,Bijou Theatre,,,,
Land of Fame,9/25/1943,9/21/1943,1943,4,Original Production,Play,Belasco Theatre,,,,
Tropical Revue,6/17/1944,9/19/1943,1943,272,Original Production,Musical,Martin Beck Theatre,,,,
Bright Lights of 1944,9/18/1943,9/16/1943,1943,2,Original Production,Revue,Forrest Theatre,,,,
A New Life,11/13/1943,9/15/1943,1943,59,Original Production,Play,Royale Theatre,,,,
Porgy and Bess,10/2/1943,9/13/1943,1943,19,Original Production,Musical,44th Street Theatre,,,,
My Dear Public,10/16/1943,9/9/1943,1943,37,Original Production,Musical,46th Street Theatre,,,,
Laugh Time,11/20/1943,9/8/1943,1943,73,Original Production,Revue,Shubert Theatre,,,,
Blithe Spirit,10/2/1943,9/6/1943,1943,26,Original Production,Play,Morosco Theatre,,,,
Tobacco Road,10/30/1943,9/4/1943,1943,56,Original Production,Play,Ritz Theatre,,,,
Blossom Time,10/9/1943,9/4/1943,1943,35,Revival,Operetta,Ambassador Theatre,,,,
The Snark Was a Boojum,9/4/1943,9/1/1943,1943,3,Original Production,Play,48th Street Theatre,,,,
Murder Without Crime,9/18/1943,8/18/1943,1943,31,Original Production,Play,Cort Theatre,,,,
Chauve-Souris [1943],8/21/1943,8/12/1943,1943,9,Revival,,Royale Theatre,,,,
"Run, Little Chillun",8/26/1943,8/11/1943,1943,15,Original Production,Play,Hudson Theatre,,,,
The Merry Widow,5/6/1944,8/4/1943,1943,276,Original Production,Operetta,Majestic Theatre,,,,
Try and Get It,8/7/1943,8/2/1943,1943,5,Original Production,Play,Cort Theatre,,,,
The Vagabond King,8/14/1943,6/29/1943,1943,46,Original Production,Musical,Shubert Theatre,,,,
Stars on Ice,4/16/1944,6/24/1943,1943,297,Original Production,Revue,Center Theatre,,,,
Boy Meets Girl,7/3/1943,6/22/1943,1943,11,Original Production,Play,Windsor Theatre,,,,
Early to Bed,5/13/1944,6/17/1943,1943,331,Original Production,Musical,Broadhurst Theatre,,,,
Those Endearing Young Charms,8/7/1943,6/16/1943,1943,52,Revival,Play,Booth Theatre,,,,
The Milky Way,6/20/1943,6/9/1943,1943,11,Revival,Play,Windsor Theatre,,,,
The Student Prince,10/2/1943,6/8/1943,1943,116,Original Production,Operetta,Broadway Theatre,,,,
Sons and Soldiers,5/22/1943,5/4/1943,1943,18,Original Production,Play,Morosco Theatre,,,,
The Corn Is Green,6/19/1943,5/3/1943,1943,47,Revival,Play,Martin Beck Theatre,,,,
The First Million,5/1/1943,4/28/1943,1943,3,Original Production,Play,Ritz Theatre,,,,
Tomorrow the World,6/17/1944,4/14/1943,1943,430,Original Production,Play,Ethel Barrymore Theatre,,,,
Ziegfeld Follies of 1943,7/22/1944,4/1/1943,1943,478,Original Production,Revue,Winter Garden Theatre,,,,
Oklahoma!,5/29/1948,3/31/1943,1943,1886,Original Production,Musical,Colonial Theatre,,,,
The Family,4/3/1943,3/30/1943,1943,4,Revival,Play,Windsor Theatre,,,,
King Richard III,4/3/1943,3/24/1943,1943,10,Revival,Play,Forrest Theatre,,,,
Dancing in the Streets,4/10/1943,3/23/1943,1943,18,Original Production,Musical,,,,,
Apology,3/26/1943,3/22/1943,1943,4,Original Production,Play,Mansfield Theatre,,,,
Kiss and Tell,6/23/1945,3/17/1943,1943,829,Revival,Play,Biltmore Theatre,,,,
Men in Shadow,3/27/1943,3/10/1943,1943,17,Original Production,Play,Morosco Theatre,,,,
Harriet,4/1/1944,3/3/1943,1943,395,Original Production,Play,Henry Miller's Theatre,,,,
Lady in the Dark,5/15/1943,2/27/1943,1943,77,Original Production,Musical,Broadway Theatre,,,,
This Rock,3/20/1943,2/18/1943,1943,30,Original Production,Play,Longacre Theatre,,,,
The Moon Vine,2/27/1943,2/11/1943,1943,16,Original Production,Play,Morosco Theatre,,,,
For Your Pleasure,2/13/1943,2/5/1943,1943,8,Original Production,Special,Mansfield Theatre,,,,
Counterattack,4/17/1943,2/4/1943,1943,72,Revival,Play,Windsor Theatre,,,,
Ask My Friend Sandy,2/13/1943,2/4/1943,1943,9,Original Production,Play,Biltmore Theatre,,,,
The Barber Had Two Sons,2/20/1943,2/1/1943,1943,19,Original Production,Play,Playhouse Theatre,,,,
The Patriots,6/26/1943,1/29/1943,1943,148,Original Production,Play,National Theatre,,,,
Dark Eyes,7/31/1943,1/14/1943,1943,198,Original Production,Play,Belasco Theatre,,,,
Nine Girls,1/16/1943,1/13/1943,1943,3,Revival,Play,Longacre Theatre,,,,
Something for the Boys,1/8/1944,1/7/1943,1943,366,Original Production,Musical,Alvin Theatre,,,,
The Doughgirls,7/29/1944,12/30/1942,1942,577,Original Production,Play,Lyceum Theatre,,,,
The Russian People,1/31/1943,12/29/1942,1942,33,Original Production,Play,Guild Theatre,,,,
Sweet Charity,1/2/1943,12/28/1942,1942,5,Original Production,Play,Mansfield Theatre,,,,
Angna Enters,,12/27/1942,1942,,Original Production,Special,Alvin Theatre,,,,
Doodle Dandy of the U.S.A.,,12/26/1942,1942,,Original Production,Special,Belasco Theatre,,,,
Proof Thro' the Night,1/2/1943,12/25/1942,1942,8,Original Production,Play,Morosco Theatre,,,,
Flare Path,1/2/1943,12/23/1942,1942,10,Original Production,Play,Henry Miller's Theatre,,,,
New Faces of 1943,1/2/1943,12/22/1942,1942,11,Original Production,Revue,Ritz Theatre,,,,
The Three Sisters,4/3/1943,12/21/1942,1942,103,Original Production,Play,Ethel Barrymore Theatre,,,,
The Willow and I,1/2/1943,12/10/1942,1942,23,Original Production,Play,Windsor Theatre,,,,
The Sun Field,12/12/1942,12/9/1942,1942,3,Original Production,Play,Biltmore Theatre,,,,
R. U. R.,12/5/1942,12/3/1942,1942,2,Original Production,Play,Ethel Barrymore Theatre,,,,
Lifeline,12/5/1942,11/30/1942,1942,5,Original Production,Play,Belasco Theatre,,,,
The Great Big Doorstep,12/19/1942,11/26/1942,1942,23,Original Production,Play,Morosco Theatre,,,,
The Pirate,4/27/1943,11/25/1942,1942,153,Original Production,Play,Martin Beck Theatre,,,,
Counsellor-at-Law,7/10/1943,11/24/1942,1942,228,Original Production,Play,Royale Theatre,,,,
Yankee Point,12/12/1942,11/23/1942,1942,19,Original Production,Play,Longacre Theatre,,,,
Once Over Lightly,11/22/1942,11/19/1942,1942,3,Original Production,Musical,Alvin Theatre,,,,
The Skin of Our Teeth,9/25/1943,11/18/1942,1942,311,Original Production,Play,Plymouth Theatre,,,,
Mr. Sycamore,11/28/1942,11/13/1942,1942,15,Original Production,Play,Guild Theatre,,,,
Without Love,2/13/1943,11/10/1942,1942,95,Original Production,Play,St. James Theatre,,,,
Rosalinda,1/22/1944,10/28/1942,1942,451,Original Production,,44th Street Theatre,,,,
Little Darling,11/14/1942,10/27/1942,1942,18,Revival,Play,Biltmore Theatre,,,,
Native Son,1/2/1943,10/23/1942,1942,71,Revival,Play,Majestic Theatre,,,,
The Damask Cheek,1/9/1943,10/22/1942,1942,79,Original Production,Play,Playhouse Theatre,,,,
"The Time, the Place and the Girl",10/31/1942,10/21/1942,1942,10,Original Production,Musical,Mansfield Theatre,,,,
Bird in Hand,10/24/1942,10/19/1942,1942,5,Original Production,Play,Morosco Theatre,,,,
Oy Is Dus a Leben!,2/6/1943,10/12/1942,1942,117,Original Production,Musical,Molly Picon Theatre,,,,
Three Men on a Horse,10/31/1942,10/9/1942,1942,22,Original Production,Play,Forrest Theatre,,,,
Count Me In,11/21/1942,10/8/1942,1942,44,Revival,Musical,Ethel Barrymore Theatre,,,,
The Eve of St. Mark,6/26/1943,10/7/1942,1942,262,Original Production,Play,Cort Theatre,,,,
Let Freedom Sing,10/11/1942,10/5/1942,1942,6,Original Production,Revue,Longacre Theatre,,,,
Strip for Action,1/2/1943,9/30/1942,1942,94,Revival,Play,National Theatre,,,,
"Wine, Women and Song",12/3/1942,9/28/1942,1942,66,Original Production,Musical,Ambassador Theatre,,,,
Vickie,10/31/1942,9/22/1942,1942,39,Original Production,Play,Plymouth Theatre,,,,
Show Time,4/3/1943,9/16/1942,1942,199,Original Production,Musical,Broadhurst Theatre,,,,
New Priorities of 1943,10/11/1942,9/15/1942,1942,26,Revival,Musical,46th Street Theatre,,,,
The Morning Star,10/3/1942,9/14/1942,1942,19,Revival,Play,Morosco Theatre,,,,
Janie,1/16/1944,9/10/1942,1942,493,Original Production,Play,Henry Miller's Theatre,,,,
Tobacco Road,10/3/1942,9/5/1942,1942,28,Original Production,Play,Forrest Theatre,,,,
I Killed the Count,9/26/1942,8/31/1942,1942,26,Original Production,Play,Cort Theatre,,,,
The New Moon,10/3/1942,8/18/1942,1942,46,Original Production,Operetta,Carnegie Hall,,,,
"Yours, A. Lincoln",7/12/1942,7/9/1942,1942,3,Original Production,Play,Shubert Theatre,,,,
This Is the Army,9/26/1942,7/4/1942,1942,84,Original Production,Revue,Broadway Theatre,,,,
Stars on Ice,4/16/1944,7/2/1942,1942,654,Original Production,Revue,Center Theatre,,,,
Star and Garter,12/4/1943,6/24/1942,1942,528,Revival,Revue,Music Box Theatre,,,,
Broken Journey,7/11/1942,6/23/1942,1942,18,Original Production,Play,Henry Miller's Theatre,,,,
"Laugh, Town, Laugh!",7/25/1942,6/22/1942,1942,33,Original Production,Musical,Alvin Theatre,,,,
The Cat Screams,6/20/1942,6/16/1942,1942,4,Original Production,Play,Martin Beck Theatre,,,,
By Jupiter,6/12/1943,6/3/1942,1942,374,Original Production,Musical,Shubert Theatre,,,,
Top-Notchers,6/20/1942,5/29/1942,1942,22,Original Production,Musical,44th Street Theatre,,,,
Comes the Revelation,5/27/1942,5/26/1942,1942,1,Original Production,Play,Jolson's 59th Street Theatre,,,,
All the Comforts of Home,5/30/1942,5/25/1942,1942,5,Original Production,Play,Longacre Theatre,,,,
Uncle Harry,5/9/1943,5/20/1942,1942,354,Original Production,Play,Broadhurst Theatre,,,,
"The Strings, My Lord, Are False",5/30/1942,5/19/1942,1942,11,Original Production,Play,Royale Theatre,,,,
The Walking Gentleman,5/12/1942,5/7/1942,1942,5,Original Production,Play,Belasco Theatre,,,,
Harlem Cavalcade,5/23/1942,5/1/1942,1942,22,Original Production,Musical,Ritz Theatre,,,,
The Life of Reilly,5/2/1942,4/29/1942,1942,3,Original Production,Play,Broadhurst Theatre,,,,
Candida,5/31/1942,4/27/1942,1942,34,Revival,Play,Shubert Theatre,,,,
Keep 'em Laughing,5/28/1942,4/24/1942,1942,34,Original Production,Musical,44th Street Theatre,,,,
Billy the Kid,,4/21/1942,1942,,Original Production,Special,National Theatre,,,,
What Big Ears!,4/25/1942,4/20/1942,1942,5,Original Production,Play,Windsor Theatre,,,,
Yesterday's Magic,5/30/1942,4/14/1942,1942,46,Original Production,Play,Guild Theatre,,,,
Autumn Hill,4/18/1942,4/13/1942,1942,5,Original Production,Play,Booth Theatre,,,,
The Moon Is Down,6/6/1942,4/7/1942,1942,60,Original Production,Play,Martin Beck Theatre,,,,
Gratefully Yours,4/12/1942,4/7/1942,1942,5,Original Production,Special,Imperial Theatre,,,,
Nathan the Wise,4/18/1942,4/3/1942,1942,15,Original Production,Play,Belasco Theatre,,,,
Johnny 2 X 4,5/9/1942,3/16/1942,1942,54,Original Production,Play,Longacre Theatre,,,,
Priorities of 1942,9/6/1942,3/12/1942,1942,178,Revival,Musical,46th Street Theatre,,,,
A Kiss for Cinderella,4/18/1942,3/10/1942,1942,39,Original Production,Play,Music Box Theatre,,,,
Argentinita,,3/1/1942,1942,,Revival,Special,Shubert Theatre,,,,
