,Date_Close,Date_Open,Date_Previews,Intermission,Market,Prod_Type,Run_Time_Minutes,Run_Time_String,Run_Type,Show_Name,Show_Type,Theatre,Theatre_Address
27,,4/19/2018,,1,Broadway,Production Production,175,"Two hours and 55 minutes, with one ",Open Run,My Fair Lady,Musical, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule   Running Time: Two hours and 55 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
28,,12/6/2018,11/10/2018,,Broadway,Premiere Production,120,"Two hours, with no ",Open Run,Network,, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule   Running Time: Two hours, with no intermission Preview schedule varies. Please check official website for up-to-date information.  After 12/6: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 2:00pm and 7:00pm Sundays: 3:00pm "
29,,,11/10/2018,,Broadway,Revival Production,,,Unknown,Pal Joey,Musical,,
30,,8/16/2018,,1,Broadway,Original Production Production,150,"2 hours, 30 mins, with one 15-min ",Limited Run,Pretty Woman,Musical, Nederlander Theatre,"         Nederlander Theatre (New York, NY) 208 W. 41st St. Seating Chart   Schedule   Running Time: 2 hours, 30 mins, with one 15-min intermission Tuesdays: 7:00pm Wednesdays: 2:00pm & 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm & 8:00pm Sundays: 3:00pm "
31,4/29/2018,3/20/2018,,1,Broadway,Original Production Production,135,"Two hours and 15 minutes, with one ",Limited Run,Rocktopia,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Schedule varies. Please check official website for up-to-date information. "
32,6/10/2018,4/25/2018,,1,Broadway,Revival Production,165,"Two hours and 45 minutes, with one ",Limited Run,Saint Joan,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 45 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
33,9/9/2018,7/23/2018,,,Broadway,Original Production Production,13,One hour and 30 minutes,Unknown,Straight White Men,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
34,,4/23/2018,,,Broadway,Original Production Production,105,"One hours and 45 minutes, with no ",Open Run,Summer: The Donna Summer Musical,Musical, Lunt-Fontanne Theatre,"         Lunt-Fontanne Theatre (New York, NY) 205 West 46th St. Seating Chart   Schedule   Running Time: One hours and 45 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
35,8/12/2018,5/31/2018,,,Broadway,Revival Production,110,"One hour and 50 minutes, with no ",Limited Run,The Boys in the Band,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: One hour and 50 minutes, with no intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm "
36,,12/3/2018,11/1/2018,1,Broadway,Original Production Production,,,Open Run,The Cher Show,Musical, Neil Simon Theatre,"         Neil Simon Theatre (New York, NY) 250 W. 52nd St. Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information. Beginning 12/5: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
37,,,11/1/2018,,Broadway,Original Production Production,,,Unknown,The Devil Wears Prada,Musical,,
38,,10/21/2018,,1,Broadway,Original Production Production,195,"3 hours 15mins, with 1 ",Open Run,The Ferryman,Play, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: 3 hours 15mins, with 1 intermission & 1 5min pause Schedule varies. Please check official website for up-to-date information.  "
39,,,,,Broadway,Premiere Production,,,Open Run,The Flamingo Kid,Musical,,
40,7/1/2018,4/26/2018,,2,Broadway,Revival Production,230,"Three hours and 50 minutes, with two ",Limited Run,The Iceman Cometh,Play, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: Three hours and 50 minutes, with two intermissions Preview schedule varies. Check official website for up-to-date information. After April 30: Tuesdays: 7:00pm Wednesdays: 7:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 1:00pm and 7:30pm Sundays: 2:00pm  "
41,,,,,Broadway,Original Production Production,,,Unknown,The Kid Stays in the Picture,Play,,
42,,,,,Broadway,Original Production Production,,,Unknown,The Late Great Me: An Evening With Alan Jay Lerner,Musical,,
43,1/13/2019,10/18/2018,,,Broadway,Original Production Production,,,Limited Run,The Lifespan of a Fact,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule  Schedule varies. Please check official website for up-to-date information. "
44,,,,,Broadway,Original Production Production,,,Open Run,The Minutes,Play,,
45,11/11/2018,9/27/2018,,1,Broadway,Premiere Production,135,"Two hours and 15 minutes, with one ",Limited Run,The Nap,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Preview schedule varies. Please check official website for up-to-date information. Beginning Friday, Sept.28: Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
46,,11/15/2018,,1,Broadway,Original Production Production,145,"2 hours, 25 minutes, one 15-minute ",Open Run,The Prom,Musical, Longacre Theatre,"         Longacre Theatre (New York, NY) 220 West 48th Street Seating Chart   Schedule   Running Time: 2 hours, 25 minutes, one 15-minute intermission Preview schedule varies. Please check official website for up-to-date information. Beginning 11/27: Tuesdays: 7:00om Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
47,12/31/2018,,,,Broadway,Revival Production,,,Open Run,The Secret Garden,Musical,,
48,,,,,Broadway,Original Production Production,,,Unknown,The Sting,Musical,,
49,1/27/2019,10/25/2018,,,Broadway,Premiere Production,,,Limited Run,The Waverly Gallery,, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule  Preview schedule varies. Please check official website for up-to-date information.  Beginning 10/26: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
50,6/24/2018,3/29/2018,,,Broadway,Premiere Production,105,"One hour and 45 minutes, with no ",Open Run,Three Tall Women,Play, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule   Running Time: One hour and 45 minutes, with no intermission Mondays: 8:00pm Tuesdays: 8:00pm Wednesdays: 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm "
51,,12/13/2018,11/1/2018,,Broadway,Original Production Production,,,Open Run,To Kill A Mockingbird,Play, Shubert Theatre,"         Shubert Theatre (Broadway) (New York, NY) 225 West 44th St. Seating Chart   Schedule  Schedule varies. Please check official website for up-to-date information. "
52,2/24/2019,11/1/2018,,1,Broadway,Revival Production,160,"Two hours and 40 minutes, with 1 ",Limited Run,Torch Song,Play, Hayes Theatre,"         Hayes Theatre (New York, NY) 240 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 40 minutes, with 1 intermission Before 11/1: Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm  After 11/1: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 7:30pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
53,6/17/2018,4/24/2018,,1,Broadway,Revival Production,150,"Two hours and 30 minutes, with one ",Limited Run,Travesties,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Schedule varies. Check official website for up-to-date information. "
54,,1/24/2019,,,Broadway,Revival Production,,,Limited Run,True West,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 8:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
55,10/8/2017,6/22/2017,,,Broadway,Premiere Production,,,Limited Run,1984,Play, Hudson Theatre,"         Hudson Theatre (Broadway) (New York, NY) 141 W. 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
56,9/24/2017,4/27/2017,,,Broadway,Premiere Production,90,"One hour and 30 minutes, with no ",Limited Run,"A Doll's House, Part 2",Play, John Golden Theatre,"         John Golden Theatre (New York, NY) 252 West 45th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
57,5/21/2017,4/3/2017,,,Broadway,Premiere Production,,,Open Run,Amelie,Musical, Walter Kerr Theatre,"         Walter Kerr Theatre (New York, NY) 219 West 48th St. Seating Chart   Schedule  Tuesdays: 7:30pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:30pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
58,,4/24/2017,,1,Broadway,Premiere Production,145,"Two hours and 25 minutes, with one ",Open Run,Anastasia,Musical, Broadhurst Theatre,"         Broadhurst Theatre (New York, NY) 235 W. 44th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
59,9/17/2017,4/26/2017,,1,Broadway,Premiere Production,150,"Two hours and 30 minutes, with one ",Open Run,Bandstand,Musical, Bernard B. Jacobs Theatre,"         Bernard B. Jacobs Theatre (New York, NY) 242 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 30 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
60,1/14/2018,4/23/2017,,,Broadway,Premiere Production,,,Open Run,Charlie and the Chocolate Factory,Musical, Lunt-Fontanne Theatre,"         Lunt-Fontanne Theatre (New York, NY) 205 West 46th St. Seating Chart   Schedule  Mondays: 7:00pm Tuesdays: 7:00pm Wednesdays: 1:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 1:00pm and 6:30pm "
61,,3/12/2017,,,Broadway,Premiere Production,100,"One hour and 40 minutes, with no ",Open Run,Come From Away,Musical, Gerald Schoenfeld Theatre,"         Gerald Schoenfeld Theatre (New York, NY) 236 West 45th St. Seating Chart   Schedule   Running Time: One hour and 40 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
62,3/25/2018,12/17/2017,,,Broadway,Original Production Production,,,Limited Run,Farinelli and the King,Play, Belasco Theatre,"         Belasco Theatre (New York, NY) 111 West 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
63,9/17/2017,4/17/2017,,,Broadway,Original Production Production,,,Open Run,Groundhog Day,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
64,8/25/2018,4/20/2017,,1,Broadway,Revival Production,155,"Two hours and 35 minutes, with one ",Open Run,"Hello, Dolly!",Musical, Shubert Theatre,"         Shubert Theatre (Broadway) (New York, NY) 225 West 44th St. Seating Chart   Schedule   Running Time: Two hours and 35 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
65,12/30/2017,11/21/2017,11/17/2017,,Broadway,Original Production Production,,,Limited Run,Home for the Holidays,Musical, August Wilson Theatre,"         August Wilson Theatre (New York, NY) 245 W. 52nd St. Seating Chart   Schedule  Mondays: 7:00pm Tuesdays: 7:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 1:00pm and 5:00pm "
66,8/6/2017,4/18/2017,,,Broadway,Premiere Production,90,"One hour and 30 minutes, with no ",Open Run,Indecent,Play, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
67,3/12/2017,1/19/2017,,1,Broadway,Revival Production,145,"Two hours and 25 minutes, with one ",Limited Run,Jitney,Play, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule   Running Time: Two hours and 25 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
68,1/7/2018,11/2/2017,,,Broadway,Premiere Production,,,Limited Run,Junk,Play, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
69,2/25/2018,11/15/2017,,,Broadway,Revival Production,,,Limited Run,Latin History For Morons,Play, Studio 54,"         Studio 54 (New York, NY) 254 West 54th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 6:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
70,12/17/2017,10/26/2017,,,Broadway,Revival Production,,,Limited Run,M. Butterfly,Play, Cort Theatre,"         Cort Theatre (Broadway) (New York, NY) 138 West 48th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:30pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
71,8/27/2017,6/29/2017,,,Broadway,Premiere Production,,,Limited Run,Marvin's Room,Play, American Airlines Theatre,"         American Airlines Theatre (New York, NY) 229 W. 42nd St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
72,1/21/2018,11/29/2017,11/1/2017,,Broadway,Premiere Production,13,One hour and 30 minutes Preview and holiday schedule varies. Check official site for most up-to-date performances days and times. Get Show News + Discounts Video Preview Photo Preview Enlarge Map Meteor Shower Production Information Previews,Limited Run,Meteor Shower,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes Preview and holiday schedule varies. Check official site for most up-to-date performances days and times.  "
73,1/14/2018,3/23/2017,,1,Broadway,Revival Production,160,"Two hours and 40 minutes, with one ",Limited Run,Miss Saigon,Musical, Broadway Theatre,"         Broadway Theatre (Broadway) (New York, NY) 1681 Broadway Seating Chart   Schedule   Running Time: Two hours and 40 minutes, with one intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 4:00pm "
74,,12/3/2017,11/9/2017,,Broadway,Revival Production,90,"One hour and 30 minutes, with no ",Open Run,Once On This Island,Musical, Circle in the Square,"         Circle in the Square (Broadway) (New York, NY) 1633 Broadway at 50th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Mondays: 8:00pm Tuesdays: 7:00pm Wednesdays: 2:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm and 7:30pm "
75,7/16/2017,4/13/2017,,2,Broadway,Premiere Production,175,"Two hours and 55 minutes, with two ",Limited Run,Oslo,Play, Vivian Beaumont Theatre,"         Vivian Beaumont Theatre (New York, NY) 150 West 65th St. at Broadway Seating Chart   Schedule   Running Time: Two hours and 55 minutes, with two intermissions Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 7:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
76,7/2/2017,4/5/2017,,,Broadway,Revival Production,,,Limited Run,Present Laughter,Play, St. James Theatre,"         St. James Theatre (Broadway) (New York, NY) 246 West 44th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
77,10/29/2017,8/24/2017,,,Broadway,Premiere Production,,,Limited Run,Prince of Broadway,Musical, Samuel J. Friedman Theatre,"         Samuel J. Friedman Theatre (New York, NY) 261 W. 47th St. Seating Chart   Schedule  Tuesdays: 7:00pm Wednesdays: 2:00pm and 7:00pm Thursdays: 8:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 2:00pm "
78,4/23/2017,3/2/2017,,1,Broadway,Premiere Production,135,"Two hours and 15 minutes, with one ",Limited Run,Significant Other,Play, Booth Theatre,"         Booth Theatre (Broadway) (New York, NY) 222 West 45th St. Seating Chart   Schedule   Running Time: Two hours and 15 minutes, with one intermission Tuesdays: 7:00pm Wednesdays: 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:30pm and 8:00pm Sundays: 2:00pm and 7:00pm "
79,6/18/2017,4/25/2017,,,Broadway,Revival Production,90,"One hour and 30 minutes, with no ",Limited Run,Six Degrees of Separation,Play, Ethel Barrymore Theatre,"         Ethel Barrymore Theatre (New York, NY) 243 West 47th St. Seating Chart   Schedule   Running Time: One hour and 30 minutes, with no intermission Preview schedule varies. Check official website for up-to-date performance dates and times. Beginning April 25th, 2017: Tuesdays: 7:00pm Wednesdays: 2:00pm and 8:00pm Thursdays: 7:00pm Fridays: 8:00pm Saturdays: 2:00pm and 8:00pm Sundays: 3:00pm "
